signal;N_sens;arch;n_tests;sim_time_s_mean;sim_time_s_std;spikes_per_s_mean;spikes_per_s_std;mean_amp_corr_mean;mean_amp_corr_std;mean_freq_corr_mean;mean_freq_corr_std;mean_plv_mean;mean_plv_std;mean_phase_deg_mean;mean_phase_deg_std;rmse_ref_o1_mean;rmse_ref_o1_std;rmse_o1_g_mean;rmse_o1_g_std
oscillator;160;PC-EC;10;1,1733860643000298;0,015613780565722962;10084,01;549,2120247777665;0,9949488938443485;0,003936736378656259;0,8912415150526168;0,29518352521662705;0,999883057097643;0,00011547968746520923;2,5913837144996568;0,7172699856172239;0,3805586740378346;0,48926173280987134;0,0362485362538944;0,009232848149510834
oscillator;160;PC-SC;10;1,5844595465996463;0,011311395278305507;11878,306666666667;723,297464514317;0,9951069616747918;0,003823439472924232;0,7987719049274193;0,39465950556574614;0,9998919531995372;0,00011110026865945155;2,373967348827842;0,7404614686712456;0,3805586740378346;0,48926173280987134;0,033405138060680864;0,010009356831334915
oscillator;210;PC-EC;10;1,1943437072000962;0,006870604092337068;13140,563333333334;438,6657659143066;0,9963477509583909;0,0018136386479803842;0,8970641517629291;0,2991892582576104;0,9999236995988173;5,5874069188970316e-05;2,4267345945297008;0,6523097118895966;0,31729791205150937;0,3400396147848478;0,03596032078615904;0,01145472294368973
oscillator;210;PC-SC;10;1,6171539350005333;0,011226961251518381;14747,383333333335;743,0410101587787;0,9964387019768617;0,0028236280741712563;0,8922213760953367;0,2977505304493581;0,9999118667541689;8,90669618707316e-05;2,4539916813925844;0,5885593863270768;0,31729791205150937;0,3400396147848478;0,03591526203494113;0,009164520867002751
oscillator;260;PC-EC;10;1,2384870837997368;0,016311566099851505;16022,043333333335;710,2096152145577;0,9959871664446762;0,0028303430195660475;0,9951328020648376;0,0056785317844188655;0,9999600668106744;3,355902891910928e-05;2,293931041549552;0,38666837799103315;0,499841715470495;0,4216373863680464;0,034084808903850954;0,006260545962210455
oscillator;260;PC-SC;10;1,6413309599005514;0,015992679648387836;17637,510000000002;729,7573706461249;0,9962957168220011;0,0022837783652027896;0,9926189918926507;0,013607592184788232;0,9999569201982865;3,730042997711044e-05;2,4717870997501086;0,45401202068477287;0,499841715470495;0,4216373863680464;0,036825570118813114;0,008713542902598848
oscillator;310;PC-EC;10;1,2516741616000218;0,011144472048668707;18233,266666666666;591,2780704061411;0,997144157644154;0,0015121221505688205;0,9968896995235251;0,00563253603163136;0,9999499041242397;5,856001298157027e-05;2,4224278071486998;0,5742796926280865;0,393457917945806;0,20257369848750842;0,03418114333175179;0,007985166112713764
oscillator;310;PC-SC;10;1,6643976923996888;0,010147958800361836;19822,066666666666;655,2626053539975;0,9977540243381725;0,0009498517935308607;0,9972733716132678;0,00515026162641346;0,999957587759484;5,31240101973012e-05;2,228565179844877;0,43767767367758165;0,393457917945806;0,20257369848750842;0,03140555935710358;0,0055656179788603054
oscillator;360;PC-EC;10;1,2685676465000142;0,011492175973483277;21390,38;989,5782253061149;0,9962544833957926;0,0025392776706649493;0,9913227910194167;0,009649798768333996;0,999955863370235;6,245049830503328e-05;2,5300857800714764;0,528187962069089;0,6382697461588509;0,38226874171489694;0,03728491157452334;0,006909275025716072
oscillator;360;PC-SC;10;1,6762406121000821;0,019702577504581893;23062,553333333333;1070,116834996632;0,996806973184402;0,0014917365548619565;0,9909089977064125;0,012278324144828115;0,9999607105927218;5,658700193547626e-05;2,58400499006651;0,523910716878336;0,6382697461588509;0,38226874171489694;0,03820927951772283;0,007818318132740578
oscillator;410;PC-EC;10;1,318687074099762;0,041960758898198745;24006,193333333336;796,6358998863002;0,9973440018286371;0,0009867345662521745;0,8263428330396299;0,36197314000094744;0,9999714483863453;2,2944178545974533e-05;2,318963938132671;0,45780897017026995;0,6111668657568311;0,3037750360675833;0,03393534030358046;0,00671114436069081
oscillator;410;PC-SC;10;1,7491132514996934;0,06591029480795663;25631,96;774,0341616539969;0,9970144516240478;0,001182340976975247;0,8261956416155953;0,36192196013383904;0,9999683272534376;2,0963734409879003e-05;2,4696407805526923;0,3221674835254337;0,6111668657568311;0,3037750360675833;0,03612499105508802;0,004721073759082512
oscillator;460;PC-EC;10;1,3674126841000542;0,034767322106650414;27122,68;665,2634167227523;0,9944957203914472;0,006430898867573468;0,8583080764025179;0,28952442196709466;0,9999675211350814;2,6550161543867592e-05;2,5730530759654195;0,5074201585939715;0,6898999113234126;0,3332343349300515;0,03864747504459038;0,006849011103831167
oscillator;460;PC-SC;10;1,7885284946001776;0,05914363123739142;28753,176666666666;669,5495556116473;0,9964696063696596;0,0013445429262391366;0,8499373036890032;0,31154947053303317;0,9999707295481975;1,761071823520189e-05;2,532609540095758;0,41980098020257495;0,6898999113234126;0,3332343349300515;0,038147922021975665;0,006086781426550554
oscillator;510;PC-EC;10;1,3707486321000033;0,013775703389348786;29390,646666666667;786,5174230997727;0,9953657954911399;0,0032501583884924218;0,9034102450030398;0,268532369492513;0,9999715551965862;2,6435508026548415e-05;2,615085670784294;0,7262422947387173;0,6553998549704267;0,40680940489745876;0,03845682454116757;0,012036193960414731
oscillator;510;PC-SC;10;1,7801974920999784;0,017593422742061975;31202,146666666667;1251,7618018981718;0,9948108343516905;0,004852606272864266;0,9034462654348163;0,2677341548976075;0,9999569610345149;6,0319996332119946e-05;2,4227611488942937;0,7863282803641556;0,6553998549704267;0,40680940489745876;0,03510962120132806;0,009628589187889149
oscillator;560;PC-EC;10;1,3824948155001038;0,014222330164430157;32038,306666666664;1318,313559040722;0,9956370205718523;0,004005318551625146;0,9072111780511148;0,2736442098118749;0,9999734430578947;3,2570843399123545e-05;2,4056018111415045;0,7427163259271058;0,6990034817521678;0,4165205598335733;0,03509168532798113;0,010040061788116101
oscillator;560;PC-SC;10;1,8020583834999342;0,01711703194262479;33540,58;1018,1031758091077;0,9964000483834171;0,0016919954328043292;0,9050748021233936;0,2714166592827252;0,9999773829247893;1,5340203291304006e-05;2,641342352658227;0,34575563468684545;0,6990034817521678;0,4165205598335733;0,038835294482929786;0,00675958356477617
