signal;N_sens;arch;test_id;sim_time_s;spikes_per_s;mean_amp_corr;mean_freq_corr;mean_plv;mean_phase_deg;rmse_ref_o1;rmse_o1_g
oscillator;260;PC-SC;4;1,6281367290011985;18061,2;0,996417798084301;0,9987390179190074;0,9999783069257817;2,0857606509978215;0,6787857392754091;0,032891605719120254
oscillator;260;PC-EC;5;1,2210942000001523;15832,733333333334;0,9971456341735505;0,9984315236373054;0,9999640724387561;2,486884216863851;0,23164246640433966;0,03456924385023175
oscillator;260;PC-SC;5;1,6448439409996354;17770,366666666665;0,9979538300868053;0,9989589422267999;0,9999762663625766;1,9935010275730454;0,23164246640433966;0,027822974934684917
oscillator;260;PC-EC;6;1,223859640000228;15235,5;0,997996281884568;0,9976845916199075;0,9999516710037019;2,014801641994535;0,11619571844761076;0,02723378477445253
oscillator;260;PC-SC;6;1,6450543780010776;16381,633333333333;0,9969460523122843;0,9965289998159934;0,9999277883180707;2,401192465029149;0,11619571844761076;0,03237646454603011
oscillator;260;PC-EC;7;1,263656725999681;15645,133333333333;0,997089500727073;0,9968117725827907;0,9999378006794587;2,3183365135261953;0,1305438575227465;0,03132483746915648
oscillator;260;PC-SC;7;1,6715098160002526;17456,066666666666;0,9957930765992093;0,9952260904807133;0,9999081568630962;2,823128717725595;0,1305438575227465;0,03801364287714575
oscillator;260;PC-EC;8;1,2594298269996216;17345,466666666667;0,9960315543957448;0,9914366458437136;0,9999906729071115;2,438097390958932;1,2655188587099298;0,042396700091146315
oscillator;260;PC-SC;8;1,6552665140006866;19023,7;0,9960230752138064;0,9912988826620222;0,9999906522803073;2,509658359573069;1,2655188587099298;0,04364490771414459
oscillator;260;PC-EC;9;1,2383438569995633;16160,733333333334;0,9989998960460605;0,9993601598528821;0,9999810697089406;1,9919629662479865;0,5271877428807552;0,029821160228518398
oscillator;260;PC-SC;9;1,646156761000384;17497,566666666666;0,9986406355046767;0,9989957432168215;0,9999699372067317;2,4963467090384452;0,5271877428807552;0,0372122699555397
oscillator;260;PC-EC;10;1,24815335600033;15284,066666666668;0,9913743796890395;0,9970398621770581;0,9999405828752195;3,210733024137265;0,48866981346799326;0,0466578068261344
oscillator;260;PC-SC;10;1,6242837340014376;16992,7;0,9986871849157531;0,9994735407151378;0,999985811600834;1,8304572237535512;0,48866981346799326;0,026751617433091592
oscillator;310;PC-EC;1;1,241568849000032;17999,666666666668;0,9974941941623825;0,9989087398467055;0,9999716174792325;2,677321999163574;0,3956766466443777;0,0382404475812
oscillator;310;PC-SC;1;1,665636554998855;20321,5;0,9985393858118299;0,9994495798583214;0,9999860828819627;1,8663200279756729;0,3956766466443777;0,026818039922103992
oscillator;310;PC-EC;2;1,2595436319988949;19054,366666666665;0,9975164020319391;0,9810005788741937;0,9997939386173788;2,4477890866715493;0,015884913058642664;0,03268262742203343
oscillator;310;PC-SC;2;1,6535029340011533;20554,466666666667;0,9979064116328856;0,9827271776007768;0,9998118204771023;2,231738273124951;0,015884913058642664;0,02991799855679828
oscillator;310;PC-EC;3;1,2637684019991866;17720,466666666667;0,9936256363994583;0,9979495014456565;0,9999508063914656;2,440023577332748;0,24118752083236158;0,03426001818771986
oscillator;310;PC-SC;3;1,6692219719989225;19065,266666666666;0,9964035803581791;0,9979238484877894;0,9999530301218857;2,7712372513708985;0,24118752083236158;0,0385092272702901
oscillator;310;PC-EC;4;1,2472085970002809;18643,066666666666;0,9989325833793443;0,9994844859599707;0,999985901351709;1,7654123446413903;0,47741135992237127;0,024446951164498677
