signal,param,value,arch,rmse_o1_g_mean,rmse_o1_g_std,rmse_ref_g_mean,rmse_ref_g_std,rmse_ref_o1_mean,rmse_ref_o1_std,mean_amp_corr_mean,mean_amp_corr_std,mean_freq_corr_mean,mean_freq_corr_std,mean_plv_mean,mean_plv_std,mean_phase_deg_mean,mean_phase_deg_std,conv_threshold_time_s_mean,conv_threshold_time_s_std,conv_settle_time_s_mean,conv_settle_time_s_std,conv_reached_threshold_mean,conv_reached_threshold_std,steady_err_o1_g_mean,steady_err_o1_g_std,sim_time_s_mean,sim_time_s_std,sim_python_peak_mem_mb_mean,sim_python_peak_mem_mb_std,sim_rss_peak_delta_mb_mean,sim_rss_peak_delta_mb_std
lorenz,cue_end,0.1,PC-EC,0.020688251213223572,0.012384556261489075,0.44591246666491546,0.026175943592154333,0.4453349708282766,0.02663042425256771,0.9967555195304888,0.0034512844137530897,0.9700251078401076,0.040743869697630795,0.9983361007332099,0.0015190182204288562,2.144363341792944,1.191330027388668,3.300333333333333,4.798358504044204,28.872333333333334,1.186307857739016,1.0,0.0,0.038768556958197066,0.025087721092897034,4.286687209333347,0.06323113121094055,26.514230728149414,1.0168288967946426,0.8802083333333334,0.4001634899449172
lorenz,cue_end,0.1,PC-SC,0.015205234761360811,0.006505459429156396,0.44640727266377683,0.025793232335779997,0.4453349708282766,0.02663042425256771,0.9984231137910361,0.001275759740927329,0.9726748158072837,0.034420279830637994,0.9991595500666589,0.0005689953596276449,1.5849350751818811,0.6764540293620007,0.5303333333333334,0.0032145502536643296,28.873,1.1824351990701218,1.0,0.0,0.027628854793251816,0.010645864300455953,5.863409642666132,0.10049181166328842,34.164368311564125,0.980677377486674,5.46484375,0.3906835893561278
lorenz,cue_end,5.0,PC-EC,0.019722067904557473,0.011237816234287603,0.41334134867671873,0.032145015449427654,0.41168503078963087,0.032678357282688406,0.996983607462656,0.0031327064255919457,0.9669013819753937,0.032307238227355976,0.9980773824083551,0.001632286072538886,2.4359071383040716,1.3665036870304923,0.643,0.19056757331718313,29.386,1.0077117643453424,1.0,0.0,0.036685874642120773,0.02070013345255204,4.4760625250000885,0.10089438433951908,26.099541664123535,1.058917981122226,0.9986979166666666,0.4613070111418705
lorenz,cue_end,5.0,PC-SC,0.014549053008764577,0.006057421423600221,0.41323858088568316,0.03325422110645531,0.41168503078963087,0.032678357282688406,0.9985157466603259,0.0011752475430418473,0.9752482355519176,0.03100327823921578,0.9991091602705741,0.0003652278804072651,1.7198196749000798,0.5292797463408664,0.536,0.010440306508910546,29.38366666666667,0.9990397055839837,1.0,0.0,0.02619828769442456,0.008603899311867079,6.142285070332946,0.1460078949616039,33.60490862528483,0.9459905065330038,5.483072916666667,0.3824402952450007
lorenz,cue_end,20.0,PC-EC,0.0212138263872902,0.012220519878002805,0.4170436753499451,0.03805980785064357,0.41594875579503493,0.03886988925300152,0.9965273197596484,0.003475691246242375,0.9911239579103629,0.011136964937949249,0.9986583086930466,0.00162265644605868,3.030417077643829,2.4579914344745646,5.185666666666667,8.058656050070217,29.716333333333335,0.24914319844886973,1.0,0.0,0.035729648893285046,0.020399584218029704,4.465832133999963,0.09322075489359613,24.08588473002116,0.9397680780514467,0.2734375,0.23885688665953825
lorenz,cue_end,20.0,PC-SC,0.015593717025459688,0.006462255691365676,0.4167081369415257,0.03878967276995898,0.41594875579503493,0.03886988925300152,0.9981852308263749,0.0015427427614413299,0.9960880219487405,0.002818965737064049,0.9993277952834502,0.0005614539941948592,1.9737722846974624,0.6582530768852941,0.536,0.010440306508910546,29.715,0.2527627345951145,1.0,0.0,0.026121597202817065,0.010334076998448002,5.996601094334134,0.25727931422446454,31.641648928324383,0.9959797081741123,5.157552083333333,0.9568026937967781
lorenz,eta,0.0001,PC-EC,0.09321259852843239,0.058399474502883485,0.34299457421941054,0.06521579483544264,0.3445725312199106,0.06105799634047225,0.7585606790719545,0.23783839389227093,0.4536637850610779,0.2268425162109197,0.9508943554013572,0.06161903151799877,28.36196340282157,17.797449313364275,1.1460000000000001,,20.422666666666668,16.588427934356325,0.3333333333333333,0.5773502691896258,0.20438785731561426,0.15552988971668702,4.318990612666312,0.117413875392621,27.28864351908366,0.9593843705394494,24.772135416666668,30.268075213937465
lorenz,eta,0.0001,PC-SC,0.09157065111689416,0.0668132588308308,0.3409441402364788,0.05815627362848693,0.3445725312199106,0.06105799634047225,0.8155652478894995,0.16076608673281653,0.5754290372291678,0.07669018250623218,0.9592349447924761,0.040157468250310205,23.51787909560684,9.688195426028935,1.044,,20.006666666666668,16.32740206932301,0.3333333333333333,0.5773502691896258,0.19257167922202623,0.13720539263671466,5.9249029006665905,0.03409828844405914,34.837145487467446,1.041184713283109,20.602864583333332,13.335201959004403
lorenz,eta,0.001,PC-EC,0.01307439264040233,0.011656651501820976,0.34548762957208706,0.06069474939619662,0.3445725312199106,0.06105799634047225,0.9025236742144305,0.16421462117765442,0.8398357760211289,0.14880137456942324,0.9986199704817467,0.0018732058319130302,3.0196350256024687,1.8370968396024643,7.772666666666666,12.539471134514937,20.361666666666668,16.69408303361803,1.0,0.0,0.029964022711304963,0.031116158887361807,4.224979813666626,0.034319740227154116,26.522518793741863,0.9603720400681457,5.098958333333333,0.5251884969768195
lorenz,eta,0.001,PC-SC,0.011062476714569204,0.009393308927098326,0.3456598205533652,0.061472478748313124,0.3445725312199106,0.06105799634047225,0.8994040197590625,0.17128642630305255,0.8239106655476673,0.19282045419771404,0.9991454955645294,0.0007740390709423278,2.1451777667081116,0.8707332042544,0.536,0.010440306508910546,20.358,16.700433886579113,1.0,0.0,0.023145639401143503,0.018560256767250784,5.828763408333543,0.07607644187516158,34.12080987294515,0.9127546675364594,9.524739583333334,0.8733708792422229
