signal,param,value,arch,seed,N_sens,mean_amp_corr,mean_freq_corr,mean_plv,mean_phase_deg,rmse_o1_g,rmse_ref_o1,rmse_ref_g,conv_threshold_time_s,conv_settle_time_s,conv_reached_threshold,steady_err_o1_g,sim_time_s,sim_python_peak_mem_mb,sim_rss_peak_delta_mb,train_time_s
lorenz,eta,0.0001,PC-EC,0,540,0.8366722607446048,0.2722842843007619,0.8816500106467234,23.677059599535813,0.14867475460874632,0.27426282284615766,0.2680090337934262,,30.0,False,0.36569331410894346,4.453960450999148,26.195526123046875,59.72265625,1.0680147309994936
lorenz,eta,0.0001,PC-SC,0,540,0.9416862885678151,0.6618793359832764,0.9584371931358934,13.261617608399526,0.09446188152576492,0.27426282284615766,0.27379317873655135,,30.0,False,0.2318414691035848,5.921565419001126,35.050893783569336,35.8515625,1.0680147309994936
lorenz,eta,0.0001,PC-EC,1,540,0.9475203202039562,0.7080105997215634,0.9713454097972942,13.375596552823021,0.09869989724580391,0.384253708242322,0.38648538088492984,,30.0,False,0.19210879930314345,4.262613131999387,27.990891456604004,7.34375,1.0808055729994521
lorenz,eta,0.0001,PC-SC,1,540,0.8704701757419517,0.548821453162147,0.9194822957369538,24.77716558769959,0.15689136084979308,0.384253708242322,0.3740576257722942,,28.855,False,0.3058605687240197,5.892596073999812,33.705674171447754,11.125,1.0808055729994521
lorenz,eta,0.0001,PC-EC,2,540,0.4914894562673024,0.38069647116090843,0.9996876457600542,48.03323405610587,0.032263143730746915,0.3752010625712522,0.3744893079798757,1.1460000000000001,1.268,True,0.055361458534755915,4.2403982550004,27.679512977600098,7.25,1.0149294620005094
lorenz,eta,0.0001,PC-SC,2,540,0.6345392793587314,0.5155863225420799,0.9997853455045806,32.51485409072141,0.02335871097512453,0.3752010625712522,0.3749816162005908,1.044,1.165,True,0.04001299983847419,5.9605472089988325,35.754868507385254,14.83203125,1.0149294620005094
lorenz,eta,0.001,PC-EC,0,540,0.9951814173509833,0.972118467839532,0.9964589792356935,3.179840160667437,0.0261674434679048,0.27426282284615766,0.27565514553862525,22.252,30.0,True,0.06527600129558654,4.227752662000057,25.546052932739258,5.27734375,1.0680147309994936
lorenz,eta,0.001,PC-SC,0,540,0.9992942894004734,0.9950362981917076,0.999396608660366,1.1463420706310994,0.009653261969352641,0.27426282284615766,0.27498856895405516,0.531,30.0,True,0.023992204667466075,5.912992221999957,34.58211421966553,10.48828125,1.0680147309994936
lorenz,eta,0.001,PC-EC,1,540,0.9994684875507832,0.8686566128885876,0.9996199197543016,1.1076821546604858,0.009230928316643865,0.384253708242322,0.38554398195284045,0.529,30.0,True,0.018053768380940124,4.2578290149995155,27.465944290161133,5.51171875,1.0808055729994521
lorenz,eta,0.001,PC-SC,1,540,0.9972949101788098,0.8617040041030813,0.9982770775603691,2.5449876222314702,0.021080774974860158,0.384253708242322,0.3867440367456353,0.548,30.0,True,0.04126812789521418,5.765044482999656,33.069475173950195,8.78515625,1.0808055729994521
