signal;N_sens;arch;n_tests;sim_time_s_mean;sim_time_s_std;sim_python_peak_mem_mb_mean;sim_python_peak_mem_mb_std;mean_amp_corr_mean;mean_amp_corr_std;mean_freq_corr_mean;mean_freq_corr_std;mean_plv_mean;mean_plv_std;mean_phase_deg_mean;mean_phase_deg_std;rmse_ref_o1_mean;rmse_ref_o1_std;rmse_o1_g_mean;rmse_o1_g_std
lorenz;560;PC-EC;1;1,3219817130011506;;5,288378715515137;;0,996914822553712;;0,9060454258307596;;0,99847461441246;;1,9840139825938259;;0,4229333056416059;;0,020068144862682696;
lorenz;560;PC-SC;1;1,7156669340001827;;7,554166793823242;;0,9963828978824489;;0,9890318266410348;;0,9982929554009461;;2,131781502195007;;0,4229333056416059;;0,021750978672365265;
oscillator;560;PC-EC;1;1,3234728549996362;;4,600369453430176;;0,9984065387702304;;0,999169526772374;;0,9999794533014823;;1,9131252133351255;;0,2523282274237165;;0,026097596492612146;
oscillator;560;PC-SC;1;1,7071466359993792;;7,350522994995117;;0,9976935527282027;;0,9988765869027152;;0,9999724509162882;;2,200818522088942;;0,2523282274237165;;0,029919018001514256;
