signal,param,value,arch,rmse_o1_g_mean,rmse_o1_g_std,rmse_ref_g_mean,rmse_ref_g_std,rmse_ref_o1_mean,rmse_ref_o1_std,mean_amp_corr_mean,mean_amp_corr_std,mean_freq_corr_mean,mean_freq_corr_std,mean_plv_mean,mean_plv_std,mean_phase_deg_mean,mean_phase_deg_std,conv_threshold_time_s_mean,conv_threshold_time_s_std,conv_settle_time_s_mean,conv_settle_time_s_std,conv_reached_threshold_mean,conv_reached_threshold_std,steady_err_o1_g_mean,steady_err_o1_g_std,sim_time_s_mean,sim_time_s_std,sim_python_peak_mem_mb_mean,sim_python_peak_mem_mb_std,sim_rss_peak_delta_mb_mean,sim_rss_peak_delta_mb_std
oscillator,cue_end,0.1,PC-EC,0.021710756155822315,0.008740341289460045,0.6994986059171243,0.401330275485687,0.6975317762921078,0.3972851148210666,0.8958174286921041,0.3160154873501246,0.808570271646466,0.3913083281983094,0.9282366704901703,0.2268072480328846,7.4378916360751575,16.19773417824746,1.2410999999999999,0.4944382783635498,1.4531,0.8454869011404021,1.0,0.0,0.03112265078316795,0.012909415348259356,4.520609075799802,0.2783876949642141,16.512433815002442,1.00561024719748,1.788671875,3.772779863651844
oscillator,cue_end,0.1,PC-SC,0.027969614537341862,0.016526336852354915,0.7004557194387443,0.40200736527026243,0.6975317762921078,0.3972851148210666,0.8930285995596824,0.3207418317817499,0.8140850309132374,0.3707556223300488,0.9144188323074456,0.2704230737299301,6.8286513502780455,12.341427507525506,1.0811666666666666,0.006882344561751273,1.4408,0.8323166865242261,0.6,0.5163977794943222,0.03998061564718462,0.023488371163531384,6.47758957110018,0.4254180811254152,23.0545862197876,1.6792687950467862,1.611328125,2.9852680603224457
oscillator,cue_end,1.0,PC-EC,0.028832053933905845,0.00904802008846171,0.6963096914483705,0.28640768380513726,0.6783226483361381,0.2956842154072746,0.9945610619581171,0.004482081264965378,0.8987873407778869,0.298913274326769,0.9999455137256191,6.200902068423354e-05,2.339116231321127,0.5574776785854738,2.8561111111111113,5.3118407695554195,1.4974,1.2735720718601766,0.9,0.31622776601683794,0.04071883376598988,0.012830240426054258,4.393873780900321,0.20925384182593834,16.574876594543458,0.5941597955883753,0.87421875,2.7645224232253254
oscillator,cue_end,1.0,PC-SC,0.0340079449975199,0.013171971824433346,0.6976868685452791,0.2872359464493743,0.6783226483361381,0.2956842154072746,0.992727031222128,0.005344952334294746,0.8956229258846117,0.2978577135453246,0.9999355433757131,6.102607498548265e-05,2.830252250386656,1.291846724692678,5.451833333333334,10.708271782443079,1.4891,1.263135556198674,0.6,0.5163977794943222,0.047970312240515664,0.018272715802132303,6.596294188100728,0.40331558181610055,23.120070934295654,1.2883071699768471,0.7875,1.9337074707018806
oscillator,cue_end,2.0,PC-EC,0.028834648853964397,0.009088150278980118,0.6604662792102646,0.30635222736162177,0.6428878280011592,0.3159322125443574,0.9949843543951399,0.003687430510438323,0.9041508007877027,0.28118807357526077,0.9999337422065755,7.194128172545435e-05,2.3400032629710488,0.5586227367613927,2.295666666666667,3.6301365332449964,1.7169,1.4428496841705694,0.9,0.31622776601683794,0.04075898640216365,0.012882414410000782,4.697640431100081,0.33487930852947556,16.57041006088257,0.5915838124664542,0.931640625,2.9461063357428063
oscillator,cue_end,2.0,PC-SC,0.033957837686559855,0.012990972893220888,0.6616948030968711,0.306459631774756,0.6428878280011592,0.3159322125443574,0.9932141787489931,0.004631923836824419,0.9011488693759138,0.28044641429836475,0.9999226771430898,7.771805184334013e-05,2.8310656175929734,1.2894417571264167,5.897333333333333,11.799519391342457,1.7178,1.457974378680534,0.6,0.5163977794943222,0.047955076444570574,0.018083857402873563,6.440320213200539,0.37325333321735005,23.121029090881347,1.2779769635315679,0.786328125,2.039370993918346
oscillator,cue_end,3.0,PC-EC,0.028902307514454627,0.008967233379693582,0.6320123351603657,0.2754980657368718,0.6139223122203786,0.28484958330990096,0.9948065573382923,0.004545615631853464,0.8990282033729373,0.2990847009587457,0.9999498864929682,5.093312448291688e-05,2.340829059621094,0.5586944709340104,3.637666666666667,7.656130468454676,2.0768,2.4277225633182313,0.9,0.31622776601683794,0.04074356719512094,0.012885649747637297,4.334014464900247,0.16152414728262457,16.563572692871094,0.5926132757649802,0.885546875,2.800345099844421
oscillator,cue_end,3.0,PC-SC,0.03422325814458109,0.01365995782994309,0.6341691336430534,0.2771376120505687,0.6139223122203786,0.28484958330990096,0.9937786734636196,0.004313471877263927,0.8947047352510091,0.29804451188573494,0.9999411878594284,4.409276692565485e-05,2.835485198880126,1.3039929644563104,5.888833333333334,11.778698729769205,2.0733,2.4341197382216015,0.6,0.5163977794943222,0.047969107441203286,0.01822131525165145,6.581156263999583,0.417383624965592,23.100587177276612,1.2605884880840652,0.79921875,1.9315099075602673
oscillator,cue_end,4.0,PC-EC,0.028864398230571037,0.008991022870283874,0.6201670382252976,0.271974202927017,0.602316644169199,0.28133259153757206,0.9947693912885562,0.00470818890509602,0.811011604414794,0.3833311621284182,0.9999326674203992,7.517048842588223e-05,2.338729673826231,0.55928397160905,2.9661111111111116,5.641465754669714,2.0948,2.2860443662458616,0.9,0.31622776601683794,0.04071182531939517,0.012827323891287778,4.99423044849973,0.4441665208557375,16.582417678833007,0.5805543679505124,0.973828125,3.0795149245311597
oscillator,cue_end,4.0,PC-SC,0.0341122151245427,0.013400121988062808,0.6218144670804915,0.27306566631208706,0.602316644169199,0.28133259153757206,0.9935019689059066,0.004674032236597852,0.8076488533360596,0.38110372796943065,0.9999163211650396,8.399636722382905e-05,2.832188984624685,1.2990237088221934,5.8455,11.672554180641013,2.0899,2.2877852681869717,0.6,0.5163977794943222,0.0479738194942043,0.018297757965452174,6.880469014299888,0.5338156936044981,23.120667743682862,1.2634992460528485,0.687890625,1.9274655184786174
oscillator,cue_end,5.0,PC-EC,0.028909594586115705,0.008845273060154342,0.589025045066802,0.2510973516202877,0.5710502658065555,0.2600146646062001,0.9953668124043389,0.00338807511139077,0.8110018783770627,0.383774816233522,0.9999409012032394,5.26712106187546e-05,2.3398021075500965,0.5567468878607125,1.6105555555555557,1.574818252300175,2.4111000000000002,3.0063847410321776,0.9,0.31622776601683794,0.040744510387032924,0.012806527779381172,4.702486336500442,0.2997583847822827,16.581296825408934,0.593960595562098,0.250390625,0.35662087214831234
oscillator,cue_end,5.0,PC-SC,0.03433133192438569,0.01397352751186845,0.5914367269408718,0.252746262920069,0.5710502658065555,0.2600146646062001,0.9945250761212628,0.003097159548705135,0.8060712087412337,0.38144207581160033,0.9999224292612119,7.60463387517973e-05,2.8361399676971564,1.3116191138470972,5.7811666666666675,11.514970350229595,2.3945,2.974045103521091,0.6,0.5163977794943222,0.04807179203363221,0.018537007025147014,6.776602654400631,0.4726751296500465,23.113914585113527,1.2688599905563474,2.23984375,1.1810695431861806
oscillator,cue_end,10.0,PC-EC,0.0288831640331092,0.008858841944936344,0.5067280978901926,0.23430656798873353,0.4883222466510525,0.2426497845911228,0.9960688333283991,0.002760687957586665,0.9950104851335213,0.004656528982779112,0.9999442013168812,5.2309051737843614e-05,2.3346142273934047,0.5558370512278304,3.6327777777777777,7.641463812283905,3.2792000000000003,4.695083168119129,0.9,0.31622776601683794,0.040760590387143567,0.012839796010321708,4.577332855900022,0.13831742226609287,15.940936088562012,0.5755278188564151,0.89296875,2.8238151293534828
oscillator,cue_end,10.0,PC-SC,0.034229535791518724,0.013674452493487985,0.5093683337596676,0.23676455056754442,0.4883222466510525,0.2426497845911228,0.9951515374524791,0.0027055363215866502,0.9895689198849149,0.01898818333118757,0.9999323730728784,4.542728324704071e-05,2.829428536801621,1.3080014263970432,5.866666666666667,11.724401710393016,3.272,4.692330243185268,0.6,0.5163977794943222,0.04804395840915239,0.01839202452774863,6.644101342999784,0.3955790790355021,22.48590497970581,1.2677565391135754,0.6890625,1.6811294682630782
oscillator,cue_end,20.0,PC-EC,0.02899491154227641,0.008746322823019341,0.26516734327528607,0.11430216575890734,0.24643729846773157,0.12059001054042365,0.9970260278116617,0.0018011522517696933,0.9961938282998053,0.0031139322552794085,0.9998343155966891,0.00012096434885150465,2.3125867211604527,0.5472404419248229,3.2776666666666667,6.5761313665406655,1.0933,0.022191339652115546,0.9,0.31622776601683794,0.04104447028372628,0.012246808746214631,4.7403937402003065,0.5356032120628917,14.657046699523926,0.5586240792931909,0.873828125,2.763287158514322
